data_venda,cliente,produto,quantidade,valor
03/05/2025,Construtora Horizonte,Cimento 50kg,80,2400.00
05/05/2025,Engenharia Prática,Ferragem CA-50 12mm,200,3800.00
08/05/2025,Obras & Cia,Tijolo Baiano,2000,2200.00
12/05/2025,Reformas Rápidas,Tinta Látex 18L,20,1400.00
14/05/2025,Empreiteira Delta,Piso Cerâmico 60x60,150,3300.00
16/05/2025,Casa do Construtor,Areia Fina m3,10,600.00
20/05/2025,Mega Construções,Cimento 50kg,300,9000.00
22/05/2025,Deposito Ferreira,Bloco de Concreto,500,2000.00
26/05/2025,Construtora Alfa Sul,Telha Cerâmica,400,3200.00
28/05/2025,José Santos,Impermeabilizante 18L,5,350.00
30/05/2025,Empreiteiro Carlos,Ferragem CA-50 12mm,100,1900.00
02/06/2025,Construtora Horizonte,Ferragem CA-50 12mm,150,2850.00
04/06/2025,Engenharia Prática,Piso Cerâmico 60x60,200,4400.00
06/06/2025,Obras & Cia,Cimento 50kg,100,3000.00
09/06/2025,Reformas Rápidas,Impermeabilizante 18L,12,840.00
11/06/2025,Casa do Construtor,Tinta Látex 18L,15,1050.00
13/06/2025,Mega Construções,Ferragem CA-50 12mm,400,7600.00
17/06/2025,Construtora Alfa Sul,Cimento 50kg,120,3600.00
19/06/2025,Empreiteiro Carlos,Piso Cerâmico 60x60,100,2200.00
23/06/2025,Arquiteto Marcos Lima,Tinta Látex 18L,30,2100.00
25/06/2025,José Santos,Bloco de Concreto,200,800.00
27/06/2025,Empreiteira Delta,Cimento 50kg,150,4500.00
01/07/2025,Construtora Horizonte,Piso Cerâmico 60x60,180,3960.00
03/07/2025,Engenharia Prática,Cimento 50kg,200,6000.00
07/07/2025,Obras & Cia,Ferragem CA-50 12mm,120,2280.00
09/07/2025,Reformas Rápidas,Piso Cerâmico 60x60,80,1760.00
11/07/2025,Casa do Construtor,Impermeabilizante 18L,8,560.00
14/07/2025,Mega Construções,Cimento 50kg,500,15000.00
16/07/2025,Construtora Alfa Sul,Ferragem CA-50 12mm,180,3420.00
18/07/2025,Deposito Ferreira,Telha Cerâmica,300,2400.00
22/07/2025,Empreiteiro Carlos,Cimento 50kg,80,2400.00
24/07/2025,Arquiteto Marcos Lima,Piso Cerâmico 60x60,60,1320.00
28/07/2025,José Santos,Tinta Látex 18L,6,420.00
30/07/2025,Distribuidora Norte,Bloco de Concreto,1000,4000.00
01/08/2025,Construtora Horizonte,Areia Fina m3,15,900.00
04/08/2025,Engenharia Prática,Telha Cerâmica,600,4800.00
06/08/2025,Obras & Cia,Impermeabilizante 18L,25,1750.00
08/08/2025,Reformas Rápidas,Cimento 50kg,60,1800.00
12/08/2025,Mega Construções,Piso Cerâmico 60x60,400,8800.00
15/08/2025,Construtora Alfa Sul,Cimento 50kg,100,3000.00
19/08/2025,Empreiteiro Carlos,Areia Fina m3,20,1200.00
21/08/2025,Distribuidora Norte,Tijolo Baiano,3000,3300.00
